右肝内稍低回声结节,血管瘤？不均匀脂肪肝？	脂肪肝
子宫手术切口区无回声区,考虑憩室可能	憩室
双侧乳腺低回声结节(左乳多发),考虑增生结节	乳腺增生
多发性双肾小结石	肾结石
甲状腺右侧叶结节,ACRTI-RADS3类	甲状腺结节 TI-RADS 3类
甲状腺体积偏小,甲状腺实质回声增粗	甲状腺回声增粗
偶发室性早搏	室性早搏
甲状腺右侧叶中部背侧包膜外实性结节,来源于甲状旁腺可能	甲状腺结节
右中肺钙化性病变	肺钙化
甲状腺左叶多发结节(TI-RADS3类,大者伴钙化)	甲状腺结节 TI-RADS 3类
甲状腺右叶较大者结节伴钙化,考虑占位,MT待排	甲状腺MT待排
考虑肝脏多发小囊肿	肝囊肿
左肺下叶慢性炎症,并局限性肺气肿	肺气肿
既往病史(眼科)白内障术后	白内障
左侧乳腺低回声结节,考虑纤维腺瘤	乳腺纤维瘤
甲状腺右叶低结节,考虑结节性甲状腺肿	结节性甲状腺肿
甲状腺右叶混合性结节伴钙化(TI-RADS4A类)	甲状腺结节 TI-RADS 4a类
胆囊底部泥沙样结石	胆囊结石
甲状腺右侧叶囊实性、囊性结节(TI-RADS2类)	甲状腺结节 TI-RADS 2类
自诉甲状腺右叶切除术后,残余甲状腺实质回声增粗	甲状腺回声增粗
肝右叶内低回声区,性质待定	肝低回声区
甲状腺右叶下极等回声结节伴钙化(TI-RADS4A类)	甲状腺结节 TI-RADS 4a类
二尖瓣、三尖瓣、主动脉瓣轻度反流	二尖瓣反流、三尖瓣反流、主动脉瓣反流
左肝多发低回声结节,考虑多发性肝血管瘤	肝血管瘤
甲状腺多发实性结节,左叶部分结节伴粗大钙化(TI-RADS3类)	甲状腺结节 TI-RADS 3类
双侧颈动脉硬化伴右侧颈总动脉斑块形成	动脉硬化
自诉胆囊切除术后,胆囊窝无回声区伴斑状强回声,残余胆囊伴结石可能	胆囊结石？
脑萎缩	脑萎缩
双侧额叶、半卵圆中心少量缺血灶	脑缺血灶
双肺上叶及左肺下叶继发型肺结核(纤维硬结期)	继发型肺结核
左肺上叶下舌段少许纤维机化灶	肺纤维灶
甲状腺右侧叶下极高回声结节	甲状腺结节
甲状腺右叶下极包膜外无回声结节,考虑囊肿	甲状腺结节
考虑慢性支气管炎,肺气肿,右肺尖部少许肺大泡	慢性支气管炎、肺气肿、肺大泡
甲状腺左侧叶增大	甲状腺增大
扫及右侧甲状腺低密度结节	甲状腺结节
胆囊体积偏小	胆囊缩小
甲状腺右叶上极实性结节(TI-RADS4A类)	甲状腺结节 TI-RADS 4a类
胰尾部囊肿	胰腺囊肿
甲状腺右叶结节伴钙化,(TI-RADS3类)	甲状腺结节 TI-RADS 3类
频发房性早搏伴心室内差异性传导,部分呈插入性	房性早搏
个别导联T波改变	T波改变
尿红细胞(高倍视野)增高	尿红细胞(高倍视野)增高
颈椎退行性变,C5/6椎间盘膨出	颈椎椎间盘膨出、颈椎退行性改变
内眼双眼年龄相关性白内障(皮质性、膨胀期)	白内障
单核细胞百分比增高	单核细胞百分比增高
胆囊底部囊壁增厚,胆囊肌腺症？	胆囊肌腺症？
甲状腺左侧叶低回声结节,考虑滤泡性肿瘤,TI-RADS4A类	甲状腺结节 TI-RADS 4a类、甲状腺滤泡性肿瘤
双乳多发无回声结节	乳腺结节
浅表性胃炎伴糜烂	浅表性胃炎伴糜烂
右肝内高回声结节,肝血管瘤？钙化灶？	肝钙化灶
右膝内侧皮下静脉曲张	下肢静脉曲张
L4-5椎间盘膨隆,腰椎轻度退行性改变	腰椎间盘膨出
右肺上叶纯磨玻璃结节	肺磨玻璃结节
右侧额窦、双侧筛窦慢性炎症、右侧鼻炎	鼻炎
右膝关节内外侧半月板I-II度改变,髌上囊及关节腔少量积液	关节积液
左肺下舌段少许陈旧纤维机化灶	肺纤维灶、肺陈旧性病灶
L4椎体前下部片状高密度影,考虑良性病变	腰椎良性病变
甲状腺右叶实性结节(TI-RADS2类),甲状腺多发囊性结节(TI-RADS2类)	甲状腺结节 TI-RADS 2类
肝右叶强回声,考虑肝内胆管结石可能	胆管结石
右下肺纤维机化灶伴轻度支气管扩张	支气管扩张、肺纤维灶
牛奶+++	牛奶阳性+
甲状腺左侧叶多发实性结节(TI-RADS3类),甲状腺右侧叶多发囊实性结节(TI-RADS3类)	甲状腺结节 TI-RADS 3类
双上肺间隔旁肺气肿、肺大泡形成	肺气肿肺大泡
甲状腺右侧叶多发实性结节(TI-RADS3类)	甲状腺结节 TI-RADS 3类
左侧额窦小骨瘤	骨瘤
残余甲状腺左叶多发性结节,ACRTI-RADS3类	甲状腺结节 TI-RADS 3类
甲状腺右侧叶结节伴粗大钙化,考虑结节性甲状腺肿	结节性甲状腺肿
粒细胞百分比降低	粒细胞百分比降低
中-重度脂肪肝	重度脂肪肝
双肺散在慢性炎症、纵隔淋巴结增多增大	肺慢性炎症
右侧颈动脉及右锁骨下动脉斑块形成	颈动脉斑块形成
PGI降低	PGI降低
甲状腺多发低至无回声结节,考虑结节性甲状腺肿	结节性甲状腺肿
甲状腺双侧叶多发囊实性结节伴钙化(TI-RADS3类)	甲状腺结节 TI-RADS 3类
双肺尖部胸膜下少许纤维机化灶	肺纤维灶
肝左叶低至无回声结节,囊肿？	肝囊肿
右肝内高回声结节	肝结节
甲状腺实质回声增粗伴多发结节,考虑桥本氏甲状腺炎	甲状腺回声增粗
考虑右上下肺纤维小结节	肺纤维结节
多发性左肝胆管结石	胆管结石
左侧放射冠区多发缺血灶	脑缺血灶
左肝管结石,并左侧肝内胆管扩张	胆管扩张
左上肺实性小结节	肺结节
双侧放射冠区多发腔梗,脑白质变性,脑萎缩	脑萎缩
肝内胆管积气,考虑术后改变	肝内胆管积气
甲状腺右侧叶结节伴钙化,性质待定	甲状腺结节
左侧甲状腺增大	甲状腺增大
右侧乳腺多发无回声结节	乳腺结节
考虑您在将来几年中存在糖尿病发病高风险,了解糖尿病发病和预防知识将有助于您达到防范目标	糖尿病糖尿病
双上肺继发性肺结核(纤维化、钙化为主)并右侧胸膜肥厚粘连、右上肺气肿、右肺下叶慢性炎症	肺气肿、胸膜粘连、继发型肺结核
双侧乳腺多发无回声结节,考虑囊性乳腺增生	乳腺结节
偶发交界性早搏	早搏
胆囊结石可能	胆囊结石？
右侧乳腺多发低回声结节,BI-RADS3类,导管内乳头状瘤待排	乳腺结节 BI-RADS 3类
子宫多发低回声结节伴部分钙化,考虑多发性子宫肌瘤伴部分钙化	子宫肌瘤
扁桃体慢性扁桃体炎、双侧III度肿大	扁桃体炎
肝弥漫性病变伴多发高回声结节	肝结节
嗜碱性粒细胞计数增高	嗜碱性粒细胞计数增高
右肺下叶磨玻璃结节	肺磨玻璃结节
符合左侧上颌窦、筛窦炎	上颌窦、筛窦炎
左肺下叶外后基底段微小结节	肺结节
左侧额窦、筛窦慢性炎症	鼻窦炎
甲状腺左侧叶多发无回声结节(TI-RADS2类)	甲状腺结节 TI-RADS 2类
右侧输尿管扩张伴结石	输尿管结石
颈椎轻度骨质增生,C3/4、C4/5椎间盘轻度突出	颈椎骨质增生、颈椎间盘突出
双侧颈动脉硬化伴右侧颈动脉多发斑块形成	动脉硬化
L5/S1椎间盘变性	腰椎间盘变性
全血高切粘度增高	全血高切粘度增高
考虑左侧冠状动脉粥样硬化	动脉粥样硬化
子宫低回声结节,子宫肌瘤伴钙化？	子宫肌瘤
右肺中叶纤维钙化小结节、右肺中叶纤维机化灶	肺纤维结节、肺纤维灶
甲状腺左侧叶混合回声结节(TI-RADS4A类)	甲状腺结节 TI-RADS 4a类
甲状腺右侧叶钙化灶	甲状腺钙化灶
左肝内叶稍高回声结节,考虑肝血管瘤	肝血管瘤
左肺上叶磨玻璃小结节	肺磨玻璃结节
右肝低回声区,考虑非均匀性脂肪肝	非均匀性脂肪肝
左乳多发无回声结节,考虑局部导管扩张	乳腺结节
考虑双上肺陈旧性肺结核灶,伴胸膜粘连	胸膜粘连肺结核、肺陈旧性病灶
孕酮增高	孕酮增高
右侧颈部低回声结节,考虑肿大淋巴结	扁桃体肿大
左肝稍低回声结节,考虑肝血管瘤	肝血管瘤
右肝低回声区,考虑非均匀性脂肪肝	非均匀性脂肪肝
双肾多发性结石	肾结石
肝内多发低回声区	肝低回声区
腰椎退行性改变,L3/4、L4/5、L5/S1椎间盘轻度膨隆	腰椎间盘膨出
C3-4、C5-6椎间盘膨出	腰椎间盘膨出
甲状腺右叶囊实性结节伴结晶体(TI-RADS3类)	甲状腺结节 TI-RADS 3类
左肾小结石？	肾结石
气管前方淋巴结可见	气管前淋巴结可见
右侧腰部背侧高回声结节,考虑脂肪瘤	脂肪瘤
扁桃体双侧扁桃体II度肿大	扁桃体肿大
右侧乳腺(BI-RADS1类)	右侧乳腺 BI-RADS 1类
甲状腺峡部偏左叶实性结节(TI-RADS2类)	甲状腺结节 TI-RADS 2类
甲状腺右叶强回声结节,TI-RADS3类	甲状腺结节 TI-RADS 3类
右肺上叶尖段微小结节影,拟良性结节	肺结节
肝内多发结节,多发性肝血管瘤？	肝血管瘤？
并多发肺大疱	肺大疱
甲状腺右叶片状低回声区(TI-RADS3类-亚急性甲状腺炎?)	甲状腺结节 TI-RADS 3类
考虑左肺上叶下舌段纤维小结节	肺纤维结节
双肺多发小斑片状高密度影,考虑慢性炎症	肺慢性炎症
考虑慢性支气管炎伴双下肺胸膜下间质性改变、肺气肿	慢性支气管炎、肺气肿
右肺散在多发小结节	肺结节
双侧乳腺增生,右侧乳腺多发无回声区,考虑囊性增生	乳腺囊性增生
双侧乳腺无回声区,考虑囊性增生	乳腺囊性增生
②左肾囊肿待除	肾囊肿
双肺上叶磨玻璃影,考虑为炎性病变	肺磨玻璃结节
子宫偏低回声结节,子宫肌瘤？	子宫肌瘤？
红外线扫描影像双乳腺腺体稍增厚	乳腺腺体增厚
甲状腺左叶结节,ACRTI-RADS2类	甲状腺结节 TI-RADS 2类
甲状腺右叶小结节,考虑滤泡增生	甲状腺结节
主动脉瓣轻度反流,二尖瓣少量反流	二尖瓣反流
单核细胞百分比降低	单核细胞百分比降低
双肺上叶多发小斑片结节影,考虑炎症性病变	肺结节
右肝内低回声区(肝血管瘤？)	肝血管瘤？
双上颌窦、筛窦、蝶窦慢性炎症、鼻炎	鼻炎、筛窦炎、上颌窦炎、蝶窦炎
双肺上叶陈旧性病灶	肺陈旧性病灶
C4/5椎间盘膨出	腰椎间盘膨出
双肺尖肺大泡	肺大泡
左肺上叶前段、左肺下叶炎症	肺炎性改变
左肺上叶舌段、右侧斜裂胸膜钙化灶	胸膜钙化
肝多发稍高回声结节,考虑肝血管瘤	肝血管瘤
甲状腺实质回声增粗不均,考虑桥本氏甲状腺炎	甲状腺回声增粗
双侧额叶及双侧基底节区多发缺血灶	脑缺血灶
左上肺硬结灶及纤维化	肺硬结灶、肺纤维化
左侧手臂皮下局部脂肪层内稍高回声结节,考虑脂肪瘤	脂肪瘤
双肾多发小囊肿	肾囊肿
胰尾部异常信号病灶,考虑为囊肿	胰腺囊肿
子宫增大伴多发低回声结节,考虑多发性子宫肌瘤	子宫肌瘤？
主动脉瓣退行性改变伴主动脉瓣返流++	主动脉瓣返流
右肝内低回声结节,①不均匀性脂肪肝②肝血管瘤	不均匀性脂肪肝
左肺高密度影,考虑为慢性炎症	肺慢性炎症
左肾实质内高回声结节,考虑肾错构瘤可能	肾错构瘤？
右侧颈总动脉分叉处周围低回声团,考虑颈动脉体瘤	颈动脉瘤
右侧乳腺多发低回声结节,增生结节？	乳腺增生
多发性右肾囊肿伴囊壁钙化	肾囊肿
右侧筛窦粘液性囊肿	鼻窦炎
左肺上下叶索条结节灶伴大部分结节钙化,考虑继发性肺结核(大部分纤维钙化)	继发型肺结核、肺纤维灶
左侧乳腺囊性结节	乳腺囊性结节
左上肺陈旧病灶,伴胸膜增厚粘连	胸膜增厚、肺陈旧性病灶
甲状腺实质回声稍增粗伴左叶结节	甲状腺结节
甲状腺弥漫性病变伴左叶低回声结节,桥本氏甲状腺炎？	桥本甲状腺结节？
肝右叶内低回声区,局灶性肝脂肪浸润缺失可能	局灶性脂肪肝
双眼屈光不正(右眼散光,左眼轻度近视)	屈光不正
主动脉瓣轻-中度反流,二尖瓣、三尖瓣轻度反流	二尖瓣反流、三尖瓣反流、主动脉瓣反流
甲状腺左叶及峡部偏右侧囊实性结节(TI-RADS2类)	甲状腺结节 TI-RADS 2类
甲状腺双侧叶低回声结节,考虑结节性甲状腺肿	结节性甲状腺肿
右上肺少量肺大泡	肺大泡
右侧小脑后下动脉中度狭窄可能	小脑后下动脉狭窄可能
肝内多发低回声结节	肝结节
右肺下叶多发纤维小结节	肺纤维结节
B型预激综合征(右外侧壁旁道可能)	B型预激综合征
双侧乳腺多发低至无回声结节,BI-RADS3类	乳腺结节 BI-RADS 3类
双侧乳腺腺体稍厚	乳腺腺体增厚
T12椎体密度不均匀增高	T12椎体密度不均匀增高
双肺散在多发陈旧病灶,伴胸膜粘连	胸膜粘连、肺陈旧性病灶
右肾多发结石	肾结石
甲状腺右侧叶实性结节伴钙化(TI-RADS3类)	甲状腺结节 TI-RADS 3类
右上肺少许钙化灶	肺钙化灶
左室壁非对称性肥厚,考虑肥厚性心肌病(非梗阻型)	肥厚非梗阻型心肌病
中度肺动脉高压	肺动脉高压
右肺尖区微小结节,必要时定期复查	肺结节
双侧乳腺多发囊性结节(BI-RADS2类)	乳腺结节 BI-RADS 2类
右侧放射冠多发缺血灶	脑缺血灶
甲状腺多发实性结节(TI-RADS3类,部分结节伴钙化)	甲状腺结节 TI-RADS 3类
右上肺少许陈旧病灶伴胸膜粘连	胸膜粘连、肺陈旧性病灶
甲状腺右叶多发低回声小结节	甲状腺结节
子宫增大伴多发低回声结节,考虑多发性子宫肌瘤	子宫肌瘤？
甲状腺右叶实性结节(TI-RADS4B类)	甲状腺结节 TI-RADS 4b类
右侧第6肋骨后段陈旧性骨折	骨折
甲状腺左叶低回声结节,ACRTI-RADS4类	甲状腺结节 TI-RADS 4类
右肾无回声区,考虑肾钙乳症	肾钙乳症
双下肺实性小结节	肺结节
甲状腺右叶多发低回声结节,考虑瘤样甲状腺肿	甲状腺结节
脾大(轻度)	脾大
右肾切除	右肾切除
左侧乳腺囊性结节,双侧乳腺轻度增生	乳腺囊性结节、乳腺增生
胆囊窝可疑高回声区,胆囊萎缩？	胆囊萎缩？
右侧乳腺多发无回声区,考虑乳腺囊肿	乳腺囊肿
双肺上叶、右肺中叶慢性炎症	肺慢性炎症
右肺中叶、双肺下叶散在慢性炎症性病灶,必要时继续定期复查	肺慢性炎症
右第7、8肋骨后段陈旧骨折,已骨性愈合	骨折
甲状腺右叶下部近背侧混合回声结节,TI-RADS3类	甲状腺结节 TI-RADS 3类
右侧附件区无回声区,考虑卵泡或囊肿	卵泡
右侧附件区实性结节,考虑右侧卵巢畸胎瘤可能	卵巢畸胎瘤？
左侧乳腺多发局部导管扩张伴10点处导管内等回声结节(BI-RADS3类)	乳腺结节 BI-RADS 3类
右肺上叶后段粟粒样结节	肺结节
左肺支气管扩张、慢性炎症、左下胸膜增厚粘连	支气管扩张、肺慢性炎症
肝右叶高回声结节,结合病史,考虑肝血管瘤	肝血管瘤
右肺中叶及左肺上叶少许纤维机化灶	肺纤维灶
甲状腺实质回声增粗,血流丰富	甲状腺回声增粗
右肺上叶磨玻璃小结节	肺磨玻璃结节
骶1骨质增生	骶椎骨质增生
气管下段宽基底小憩室	憩室
双侧放射冠区腔隙性脑梗死	腔隙性脑梗死
L3～S1退行性变,L4～5椎间盘向左后方突出,L5～S1椎间盘膨出	腰椎间盘膨出、腰椎退行性变
双肺慢性炎症、间隔旁肺气肿	肺气肿
甲状腺左叶低回声结节	甲状腺结节
分泌物分泌物豆渣样?	阴道分泌物异常
甲状腺右侧叶等回声结节,考虑腺瘤	甲状腺腺瘤
双肾多发囊肿(右肾部分囊肿伴囊壁钙化)	肾囊肿
双肺散在少许慢性炎症	肺慢性炎症
左侧乳腺低回声结节,BI-RADS3类	乳腺结节 BI-RADS 3类
双侧乳腺低至无回声结节(BI-RADS2类)	乳腺结节 BI-RADS 2类
子宫略大,触及不规则突起	子宫略大
甲状腺分布不均匀伴左叶结节	甲状腺结节
甲状腺实质回声增粗伴多发低回声区	甲状腺回声增粗
左肾已切除	肾囊肿
右上肺局部纹理增强	肺纹理增强
三尖瓣关闭不全伴重度反流	三尖瓣关闭不全
左肺下叶前内基底段淡片状磨玻璃密度影	肺磨玻璃结节
双肺散在少许陈旧性病变	肺陈旧性病灶
右肺中下叶少许慢性炎症病灶	肺慢性炎症
右肺下叶外后基底段慢性炎症、胸膜肥厚	肺慢性炎症
C3/4、C4/5、C5/6、C6/7椎间盘突出	颈椎间盘突出
外周血管右下肢中度静脉曲张	下肢静脉曲张
肝内多发血管瘤	肝血管瘤
L5-S1椎间盘轻度突出(中央型)	腰椎间盘突出
HPV56阳性	HPV56阳性
双肾海绵肾？	海绵肾？
考虑右上肺硬结钙化灶	肺部钙化灶
右侧附件区多发无回声区,囊肿？	卵巢囊肿？
右肝后叶高回声结节,血管瘤？	肝血管瘤？
甲状腺右叶囊实性结节伴粗大钙化(TI-RADS3类)	甲状腺结节 TI-RADS 3类
甲状腺重度肿大伴多发结节,右叶结节见液性区及钙化灶,考虑结节性甲状腺肿部分伴液化及钙化	结节性甲状腺肿
